PG.ProteinGroups,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
A0A024RBG1,25189.73438,13440.20801,19565.13672,17490.47461,27999.10352,11120.79199,8287.486328,10820.16211,17296.73242,18318.8418,18477.61914,17006.46875
A0A096LP49,43690.0625,40345.23047,37148.71484,37204.87891,39428.95703,39318.33203,36062.07813,34250.29297,14340.24121,15824.94238,15143.30762,17399.125
A0A0B4J2A2,1060724,836391.25,1103098.75,1063019,973396.5625,821988.5625,936122.9375,1124464.625,53010.74219,57187.71484,52963.16406,34816.89453
A0A0B4J2F2,57807.32422,60119.07813,63978.08594,69136.92188,68128.5625,31073.24219,72903.39063,71065.42188,24703.76563,22421.81445,23169.6875,19809.05469
A0AV96,14720.61035,16155.04102,15082.32422,14969.2666,14932.67773,13164.33301,14025.50586,12534.11523,23362.89258,20095.57617,22745.88672,19496.88086
A0AVK6,16522.56445,18600.73633,17865.74805,18601.67969,18643.3125,5125.667969,14807.13867,16103.45508,154131.5469,176692.5625,190372.8125,204635.875
A0AVT1,17222.83984,24763.6582,30250.36914,28884.49023,16928.29102,28179.63281,22732.48242,16664.99219,22134.22461,21360.31055,22337.79883,14918.99512
A0FGR8,20893.17969,17165.69922,18176.4043,20293.74805,18935.82813,12087.23145,14606.60352,11881.54395,70459.24219,83871.04688,81164.91406,90507.8125
A0JLT2,37593.65625,28032.05664,28467.55859,21959.01367,34682.69531,23316.44727,35804.23438,32016.7832,11785.7793,12169.8584,14715.14355,10873.0332
A0MZ66,29056.75195,32836.45703,30119.30664,30416.28125,29155.36328,30256.35938,33450.51172,30839.00195,58996.48047,55405.6875,67356.52344,58013.51563
A1L0T0,35199.125,35886.66016,36962.28516,38643.55469,29708.70898,31485.83984,25030.81836,31670.04883,23465.89453,22845.08398,20825.53125,20014.25586
A1L390,12021.93359,12513.96387,11311.03711,10823.97461,11329.15039,9397.3125,12337.43359,9379.056641,64647.27344,60790.59375,65065.32031,66674.29688
A2RRD8,46519.11328,58789.84375,54326.01953,62714.16016,57500.93359,64203.45313,65464.58203,70372.01563,41080.06641,41901.56641,42944.40234,44885.59375
A3KN83,26430.20703,25346.23242,26637.74609,25969.67578,26256.34961,25992.6582,25837,25177.88867,53103.19141,56328.77344,55040.09375,53754.82031
A5YKK6,27706.61523,27926.76172,26817.80273,27684.26758,24960.61914,26118.64844,25467.98047,24301.88672,41879.18359,38499.00391,39736.72266,39057.60938
A6NCC3,35944.17188,20451.27734,27322.03125,25434.79883,41856.31641,7629.362793,2581.510742,10482.42383,73940.39063,74093.625,74838.21875,51702.09375
A6NDG6,36172.87891,32129.89258,29492.2793,36041.41406,32832.60156,28935.81445,26838.32031,24399.03516,15375.62402,17438.37891,16520.64648,20086.15039
A6NDU8,48340.95703,50244.53516,40859.60547,44103.26953,37341.36328,42296.36719,38651.26172,37392.52344,32197.17383,33058.63281,35605.98828,25792.39063
A6NED2,2379.226074,9749.27832,11220.31348,10147.27832,8857.213867,6130.551758,6130.416992,3188.316162,13436.84082,12738.18359,14416.3291,12541.30176
A6NFI3,26165.05859,32865.58203,25063.63672,30182.51367,29647.57813,31624.83203,32113.07813,31675.62695,21856.69531,21322.02539,27716.71875,34278.25781
A6NHG4,10506.63672,6973.583008,7115.408691,8546.165039,3228.380615,4923.560059,2169.056396,6023.871094,13753.81836,12784.9707,12600.33984,12110.75
A6NHL2,75163.5,66692.17188,69335.75781,77987.73438,69796.09375,56109.19922,56733.92969,61412.86328,16555.29297,15977.59766,16781.00195,17225.78125
A6NHR9,46648.07813,49067.90234,47149.73438,47286.44141,49437.65234,52611.625,50571.76953,49839.58203,23969.49414,25473.20508,30803.375,30510.91211
A6NI28,20124.60156,16441.28516,18209.00195,16183.56055,20410.74414,17323.52539,17561.29102,16449.52539,16025.23145,16487.7793,17719.11523,18381.66602
A6NKD9,28516.96094,19331.14453,24568.11523,20728.71094,19865.0332,22851.81445,20347.41992,22094.01563,23348.1543,18529.22656,15817.85352,312639.3438
A6NKF1,61550.31641,52704.25391,47447.81641,43745.63281,54271.20703,50827.07422,29430.41211,43324.67188,27799.88281,26565.73047,26078.45313,25890.74023
A7E2V4,16145.75293,12759.03027,11657.78418,10511.75781,15102.40332,15992.88086,16615.4043,12596.32422,160010.3438,159477.7969,159395.0938,210145.2656
A8MT65,4012.273682,4863.192383,8646.533203,5880.178223,118944.25,6397.763672,6572.570801,4469.754883,25991.11328,25391.22852,26140.88867,30881.51758
A8MWD9,35410.99609,45258.38281,43380.05469,53292.55469,40494.32031,67262.4375,58546.51563,65265.47266,20568.76563,19925.1582,19311.65234,19845.20117
A9UHW6,8131.365234,7221.353027,10499.84668,9537.228516,7941.581543,8504.505859,8413.011719,6270.105957,12570.08789,6775.414063,8123.436523,7432.074219
B0I1T2,178568.2188,196181.625,174781.8438,172974.2656,169408.9375,168757.5313,170851.0781,170949.0625,17306.07227,18540.70703,13928.71582,15799.44043
B1AK53,6828.53418,8646.613281,3513.079346,7837.77832,12285.98145,8957.988281,10416.95605,11891.9082,64915.82422,67622.28906,66820.03906,62092.86328
C9JRZ8,79103.64063,82321.20313,82831.24219,78035.75781,71167.10156,68394.89844,71352.22656,67781.40625,28705.72266,18112.29102,27900.96484,16096.14258
E7ETH6,20261.35742,19808.28516,15914.57617,21526.96875,22885.14258,20931.83398,17944.24219,19476.72266,29927.125,29211.28516,28738.39063,30496.85742
E9PAV3,53016.30859,51391.00391,40466.94531,49520.69141,58549.55078,50055.39063,48295.50781,38035.19531,96228.45313,90060.26563,83735.41406,74523.39063
E9PRG8,19242.60742,12822.4082,18804.74609,20790.54492,14886.15527,12474.13672,18451.82617,16710.36523,10103.31348,10612.70215,7478.97998,12016.91113
O00139,36871.47656,35754.09766,34890.16016,37479.94922,38452.52344,38613.96484,38345.03906,37048.01563,79786.95313,78631.07813,81783.53125,86633.17188
O00148,61977.19922,57671.53125,60140.51563,63301.14063,54125.02344,57974.53516,58757.80078,57154.3125,44985.67188,41019.53516,36769.625,32319.71094
O00151,43381.90625,43363.26172,43988.75,44020.01953,51324.58984,47318.07422,47035.03516,47065.16016,22474.0918,22305.9043,20812.4082,23952.89258
O00154,35147.73047,37920.10547,32354.2793,34566.71875,32337.96094,30736.0293,33223.66016,30603.98438,17478.29297,16257.81543,16108.29297,12228.35059
O00159,34008.43359,35970.36719,37355.86719,39833.49609,32300.63477,32273.89844,31251.41992,33017.62109,8089.44043,8052.685059,4206.872559,7683.492676
O00161,41376.55078,44590.14063,41486.66406,39057.0625,39380.41797,37339.52344,38969.20703,42251.98828,352564.8438,386045.25,393326.9688,314882.7188
O00170,45577.45313,49315.49609,50374.00781,47894.36328,45933.41016,47735.93359,50001.57422,46816.29297,23107.96094,23614.95703,21944.20117,24384.22852
O00178,69876.10938,67207.45313,68704.47656,69717.99219,61593.48828,60352.29297,60223.84766,58035.19531,27242.26172,33093.80859,32430.6875,25478.48047
O00186,66583.33594,61870.03906,62666.26953,64547.02734,53330.29688,56783.72656,54959.82031,54357.96875,33305.24609,30715.28516,33290.16016,28194.6543
O00193,117781.3125,121645.9141,116350.7344,119986.0313,129641.9688,122120.3281,124699.625,128653.3047,31205.60742,32585.64258,31258.5918,30787.64258
O00203,34412.83984,37252.64844,37728.36719,36437.53906,37566.48438,38233.71484,38854.86328,37084.41406,23528.50195,21438.9668,24426.26953,17749.40234
O00214,23417.49609,22385.50195,20906.80664,22915.70703,19771.32422,22391.26172,21999.39648,12911.84961,32085.10352,33588.84766,32346.96289,23784.88281
O00231,23832.92383,23566.61133,23733.63672,24493.34766,22176.78711,19722.13086,19502.20117,20186.71875,33744.41016,32951.80859,33277.14063,39330.55469
O00232,40022.21484,38268.15234,37397.55469,37252.31641,33840.13281,33223.14063,33437.05859,32853.07031,31336.2207,31188.1543,32543.64844,30737.70703
O00233,30825.20313,30415.03516,28312.23633,28211.38281,31927.38867,26531.03711,27563.32617,29445.09766,25309.5957,25579.00391,25040.08984,26738.50781
O00255,55650.38672,31400.22266,42783.125,48400.74219,36529.41406,40784.94141,40882.00391,36198.93359,19738.16797,18922.59961,22336.24219,19662.45508
O00257,27196.81641,29829.97266,28457.19336,26979.64844,31409.35742,29636.14258,26759.57813,26997.57227,20779.97266,19954.58594,19902.59961,19303.04297
O00264,21749.39648,19034.07422,19304.38672,21512.60742,17964.30469,19966.81055,13933.47852,14814.00488,86376.625,92047.48438,93275.48438,81190.32031
O00267,53880.75781,55765.82031,53673.48047,55927.08984,56692.33594,57982.69531,59492.40234,60306.67578,60452.08203,60056.87109,60562.30859,53046.41406
O00268,25498.04688,23963.42773,23345.96289,23373.03125,25372.68164,20313.74414,17613.04102,19784.41211,26214.28516,26722.3125,27495.83203,23732.30078
O00273,54662.63281,53106.98047,53042.30859,53599.48438,50778.10938,48472.99219,50591.03125,55546.48047,11826.85938,10760.09961,9944.132813,9853.098633
O00287,11172.78809,11407.97168,10950.60156,10236.04199,9232.460938,10103.10059,9665.710938,10414.37305,8978.911133,8978.381836,5996.498047,10738.7002
O00291,29089.50781,29933.86328,29534.35742,27817.23438,30978.83203,29862.93555,27206.49609,26689.01953,11943.85547,3007.030518,4421.701172,2903.9375
O00299,82461.16406,81473.42969,82600.78906,93879.96094,83448.0625,68650.375,66418.40625,63077.61328,21149.76758,21001.81055,23410.2832,18716.33008
O00303,37850.78516,36457.42969,36147.55469,37868.36328,31387.94336,32394.97852,33414.49609,34507.90234,31831.17578,34342.65625,32798.74219,33725.40625
O00311,11987.86133,11339.47363,10771.625,9328.488281,12833.14063,11217.52344,10640.52051,9260.741211,23847.25391,26595.52344,26300.62305,25321.81055
O00358,34449.08984,31193.23438,26181.7168,26163.70508,31668.44922,31084.08984,31449.20898,27202.82422,45063.48438,47329.25781,47616.24219,58218.75391
O00399,19598.83203,18867.73438,15767.46289,12412.35254,13084.37695,19281.65234,12159.07813,14754.79395,19156.92188,14970.81836,21813.54492,22509.58594
O00410,49893.46875,47303.71875,47163.11719,47475.20703,48895.25,47102.13672,48573.49219,46445.57813,48288.86328,49774.41406,53186.01953,58936.07813
O00418,23190.80078,22947.75781,22894.80664,25089.95117,14920.87891,13477.35254,14231.8457,14073.79785,26030.99805,23319.03125,24028.83594,29909.35742
O00422,136508.5781,131262.4219,130980.8438,131579.4063,144765.5313,128042.5938,133883.9531,131301.7656,25319.75195,20905.14063,26343.64453,18524.86914
O00425,20464.66211,22599.21484,19797.25586,21118.90625,20926.9375,21896.07617,17903.97656,19071.73438,49326.43359,48968.02734,50602.19141,45840.08984
O00429,27584.75195,25551.38867,25458.62695,26650.80273,19401.14453,21334.54883,19100.53125,17319.01172,26921.89063,32726.72656,38602.90234,29703.80664
O00442,38500.62109,14201.17773,36692.41406,33218.24219,20067.82227,28173.31836,20801.21289,35289.875,80489.33594,81629.89844,79393.60156,84319.82031
O00443,19359.92188,17296.73242,18318.8418,18477.61914,17006.46875,17427.05859,16563.44141,15718.35449,92734.28125,94005.29688,96517.23438,92590.25781
O00459,16843.00195,14340.24121,15824.94238,15143.30762,17399.125,14902.87207,15282.8877,18086.95508,13589.68066,13904.26172,12646.17578,13617.80273
O00461,54845.37109,53010.74219,57187.71484,52963.16406,34816.89453,34763.16016,35850.33984,35814.67188,14368.91699,10975.25098,11915.69727,12947.2998
O00468,28988.70508,24703.76563,22421.81445,23169.6875,19809.05469,20596.74609,27386.2832,24051.25586,2342.569092,4703.336426,6409.815918,8542.272461
O00471,21661.65625,23362.89258,20095.57617,22745.88672,19496.88086,20859.37109,15103.2002,13158.91992,28394.08594,27506.25781,26813.53125,26187.5957
O00479,194255.625,154131.5469,176692.5625,190372.8125,204635.875,133981.9063,147936.5469,133412.9688,48063.37891,48339.80469,48519.1875,51112.69531
O00487,21227.66602,22134.22461,21360.31055,22337.79883,14918.99512,19259.4668,20148.58789,21228.00195,43567.47266,50689.07031,47351.48828,45527.33203
O00488,91350.97656,70459.24219,83871.04688,81164.91406,90507.8125,78512.0625,79850.53906,75859.22656,52557.42578,49885.70313,49781.07031,52884.32031
O00499,14732.03418,11785.7793,12169.8584,14715.14355,10873.0332,8602.694336,7378.251465,6100.273926,17632.88477,17545.63672,19066.10938,16885.70117
O00505,68287.375,58996.48047,55405.6875,67356.52344,58013.51563,56679.33984,51704.46484,59006.18359,5544.375,12458.55664,3134.689209,10612.55273
O00534,20566.57813,23465.89453,22845.08398,20825.53125,20014.25586,25126.11914,23216.80078,23601.80469,113103.8281,109659.6094,111968.3281,102948.6875
O00541,63383.23828,64647.27344,60790.59375,65065.32031,66674.29688,66892.88281,63124.76563,64085.79297,24044.79102,23991.3125,22433.26367,23289.40039
O00566,41488.34375,41080.06641,41901.56641,42944.40234,44885.59375,46052.71484,45971.78906,46106.25391,32348.2793,24785.83594,23099.81641,23470.05273
O00567,55666.01953,53103.19141,56328.77344,55040.09375,53754.82031,53202.84375,51831.32031,52889.92969,27915.87305,27861.52734,26200.82617,26120.14453
O00571,40567.60156,41879.18359,38499.00391,39736.72266,39057.60938,36663.64063,34343.82031,36337.01172,9870.114258,9177.552734,9538.195313,8396.313477
O00592,79780.21094,73940.39063,74093.625,74838.21875,51702.09375,44726.32422,47943.96484,49581.55859,34167.42969,13980.55762,26170.58398,15206.63965
O00625,18638.9082,15375.62402,17438.37891,16520.64648,20086.15039,14288.7998,18614.11523,13964.0957,18560.79883,17546.33984,18408.10742,16782.76367
O00629,30621.00586,32197.17383,33058.63281,35605.98828,25792.39063,24123.00195,24781.07617,28650.35938,23213.77344,20578.95313,22904.78516,31593.20117
O00635,16355.62109,13436.84082,12738.18359,14416.3291,12541.30176,7846.509277,8950.550781,6348.199707,35702.45313,34852.58984,35825.01953,29262.40625
O00712,29031.77148,21856.69531,21322.02539,27716.71875,34278.25781,26432.64063,24211.70117,22550.19336,19053.98633,19037.35352,18340.37109,14978.07324
O00743,12379.7832,13753.81836,12784.9707,12600.33984,12110.75,10370.36133,11792.80762,8715.745117,39902.22266,29646.93555,25205.03906,44586.03906
O00750,17378.6875,16555.29297,15977.59766,16781.00195,17225.78125,17191.07617,16942.45508,16251.50195,14441.12305,13882.27344,10000.55469,14708.50879
O00762,22095.42773,23969.49414,25473.20508,30803.375,30510.91211,21036.32227,20511.60352,23748.44141,17579.16602,19477.4043,20005.40039,19854.28125
O00764,15246.16016,16025.23145,16487.7793,17719.11523,18381.66602,18099.46289,16704.08594,18249.07227,37162.46484,36855.14063,35478.90625,35988.73438
O00767,21915.16211,23348.1543,18529.22656,15817.85352,312639.3438,17741.81445,6299.532227,16463.66992,93745.8125,103843.0547,102091.5781,89886.61719
O14497,27899.86133,27799.88281,26565.73047,26078.45313,25890.74023,25234.44141,24317.57227,25530.37695,36519.00781,38391.74609,39831.25,37125.17969
O14519,186274.3906,160010.3438,159477.7969,159395.0938,210145.2656,158060.3906,150269.7344,143119.3906,31822.63672,31061.61914,31222.51172,31852.47461
O14530,28702.32813,25991.11328,25391.22852,26140.88867,30881.51758,24303.09375,27173.41016,25632.17969,24154.91797,23973.07617,22688.60156,23714.46875
O14545,20629.91992,20568.76563,19925.1582,19311.65234,19845.20117,18725.41992,15190.66406,15004.93359,39775.08594,40102.35938,45918.78516,33358.75
O14562,7977.558594,12570.08789,6775.414063,8123.436523,7432.074219,7539.070801,4287.114258,11914.81152,31549.80469,29744.60938,32326.32031,29109.65039
O14578,17330.83203,17306.07227,18540.70703,13928.71582,15799.44043,15575.43164,18753.53711,16657.14453,13499.52441,15587.50879,14936.23145,16513.27539
O14579,74245.75781,64915.82422,67622.28906,66820.03906,62092.86328,59265.26953,64514.97656,59877.12891,27130.51758,30047.35352,28979.90625,28247.32422
O14593,34669.45703,28705.72266,18112.29102,27900.96484,16096.14258,24116.8125,26100.29883,25141.58984,48240.88672,50828.77344,51491.17578,49325.01172
O14617,28904.88086,29927.125,29211.28516,28738.39063,30496.85742,28907.97266,25518.21875,26269.75391,31296.66016,23550.48047,29283.50391,26054.17578
O14618,98252.29688,96228.45313,90060.26563,83735.41406,74523.39063,86449.55469,77098.86719,81924.38281,80913.71875,77695.16406,78769.74219,76860.875
O14628,11611.94922,10103.31348,10612.70215,7478.97998,12016.91113,12560.91895,8375.375977,10741.2334,25360.9707,28496.28711,26010.93555,27329.58008
O14639,81204.17188,79786.95313,78631.07813,81783.53125,86633.17188,83400.65625,82730.96875,80592.39844,95883.28906,94275.29688,94845.51563,94769.00781
O14641,42969.08984,44985.67188,41019.53516,36769.625,32319.71094,46186.96875,41695.46484,36865.94922,87147.69531,88169.55469,91154.58594,89667.8125
O14646,22776.19336,22474.0918,22305.9043,20812.4082,23952.89258,26295.80078,24085.94531,23613.94727,54387.10156,55605.05859,55329.15625,54850.51953
O14647,15969.42285,17478.29297,16257.81543,16108.29297,12228.35059,14627.79492,16489.25586,17595.96094,19684.25391,20601.97461,20966.43945,20347.24023
O14653,5363.056152,8089.44043,8052.685059,4206.872559,7683.492676,9629.094727,7366.163086,6437.66748,18377.10352,20305.58984,21209.04102,15694.28711
O14684,402801.3438,352564.8438,386045.25,393326.9688,314882.7188,205825.5938,219769.75,255865.9688,14871.9502,16429.84961,15009.52148,15599.09766
O14686,24108.54297,23107.96094,23614.95703,21944.20117,24384.22852,21006.53906,21053.81055,19248.96484,25457.57617,24506.06641,21827.70117,24724.24023
O14732,30646.56445,27242.26172,33093.80859,32430.6875,25478.48047,27153.88477,27127.62891,29139.36914,32025.70117,30596.35742,31470.26367,30810.6543
O14733,28833.86719,33305.24609,30715.28516,33290.16016,28194.6543,32147.66016,30765.93164,32543.4043,29648.13867,29005.64844,27535.9668,26294.80859
O14737,33974.15625,31205.60742,32585.64258,31258.5918,30787.64258,33168.78125,31181.01367,29916.95313,49381.55469,39678.69531,54498.12109,65374.67188
O14744,26442.37891,23528.50195,21438.9668,24426.26953,17749.40234,15097.95801,15481.35938,18307.01953,12344.17969,11546.95508,9804.845703,16262.15723
O14745,33145.85938,32085.10352,33588.84766,32346.96289,23784.88281,23802.2793,23076.71289,26554.59766,4887.135254,26139.89648,15550.5498,25199.10742
O14757,39307.03906,33744.41016,32951.80859,33277.14063,39330.55469,36489.96484,25474.96094,29135.0957,123491.0078,119948.7109,130718.9766,109344.3281
O14776,28889.33398,31336.2207,31188.1543,32543.64844,30737.70703,32262.58984,32191.4707,32761.91602,25448.9707,25903.14844,26262.97656,28242.42578
O14777,28853.99609,25309.5957,25579.00391,25040.08984,26738.50781,23643.35938,21955.38086,23265.44336,24505.78711,28333.65039,25715.01563,25841.95117
O14787,20662,19738.16797,18922.59961,22336.24219,19662.45508,21993.42969,19322.0625,19784.41602,18815.00781,22072.51953,20883.89063,22429.16797
O14802,21404.51758,20779.97266,19954.58594,19902.59961,19303.04297,19189.60547,18628.20117,17428.79492,18816.54297,5347.585449,22607.54492,11862.13867
O14818,91641.76563,86376.625,92047.48438,93275.48438,81190.32031,82919.125,88527.99219,88790.26563,39927.14844,46356.61719,48701.01172,55650.46875
O14828,59491.58594,60452.08203,60056.87109,60562.30859,53046.41406,50788.21875,50041.54688,48840.27344,3534.32373,2766.274414,2954.622314,10459.09766
O14841,24968.2168,26214.28516,26722.3125,27495.83203,23732.30078,25944.18945,27421.57813,26417.75977,90288.35156,91304,91240.10938,91221.40625
O14879,9432.901367,11826.85938,10760.09961,9944.132813,9853.098633,9612.286133,12184.94434,10743.94531,38127.72656,39666.09766,41510.10547,36229.85938
O14880,12403.0293,8978.911133,8978.381836,5996.498047,10738.7002,10960.9043,9500.538086,6574.951172,60617.92578,55157.52734,53951.14453,58742.10547
O14901,8397.208008,11943.85547,3007.030518,4421.701172,2903.9375,33467.59375,31672.3125,5816.960938,29982.42578,32066.43555,31385.79688,33559.54688
O14907,22254.27148,21149.76758,21001.81055,23410.2832,18716.33008,22961.42969,17826.50195,20982.39648,20399.68359,18546.33789,18905.30469,15791.11426
O14908,34218.96875,31831.17578,34342.65625,32798.74219,33725.40625,29558.51172,32144.87891,28166.95313,16900.36133,19740.52734,15345.50098,14617.5498
O14920,28081.58203,23847.25391,26595.52344,26300.62305,25321.81055,25856.25977,23314.05078,23154.32617,24281.63086,21545.82813,21379.04297,25150.95898
O14929,54843.70703,45063.48438,47329.25781,47616.24219,58218.75391,42540.41797,46542.91797,47563.15234,74295.11719,72537.53125,73452.1875,65888.4375
O14936,25645.11719,19156.92188,14970.81836,21813.54492,22509.58594,9029.757813,9545.924805,13034.37891,24683.64844,32443.66016,30618.77539,55157.30469
O14950,49308.66406,48288.86328,49774.41406,53186.01953,58936.07813,47968.99609,58697.38281,48420.51953,23606.4375,21757.94531,19242.29297,20799.65039
O14964,24487.81055,26030.99805,23319.03125,24028.83594,29909.35742,23016.92773,23749.05664,24113.31445,31784.25391,33068.53906,33971.10547,27501.75
O14965,24079.87891,25319.75195,20905.14063,26343.64453,18524.86914,23987.63867,20689.64453,20289.44922,9912.394531,15791.4541,11084.33105,14519.80273
O14974,46931.35156,49326.43359,48968.02734,50602.19141,45840.08984,48183.58984,47689.82813,46859.39844,68979.71875,74492.29688,85091.23438,79433.34375
O14976,32147.25,26921.89063,32726.72656,38602.90234,29703.80664,29609.98633,29299.65039,27581.82031,35760.06641,33260.16406,34968.35547,35362.30859
O14979,83096.72656,80489.33594,81629.89844,79393.60156,84319.82031,73435.375,80294.42969,80602.95313,38635.28125,39553.9375,38020,37615.04688
O14980,94776.99219,92734.28125,94005.29688,96517.23438,92590.25781,95200.88281,95881.45313,95410.125,43971.76172,42950.08984,43052.82813,46492.5625
O14981,13966.04688,13589.68066,13904.26172,12646.17578,13617.80273,14020.31152,13382.13672,12334.72559,20400.33008,22370.94141,19963.76172,28383.9707
O15013,12441.6709,14368.91699,10975.25098,11915.69727,12947.2998,12716.04492,12129.38379,9794.65918,6855.317383,7719.458984,4758.398926,13651.99805
O15015,7877.479492,2342.569092,4703.336426,6409.815918,8542.272461,6197.40332,9056.725586,6867.000977,3910.548096,26540.75781,29138.51172,31375.9082
O15020,28106.64258,28394.08594,27506.25781,26813.53125,26187.5957,26109.93555,24922.99609,25051.48828,24355.22266,26808.69922,25207.92969,27638.68555
O15027,47174.8125,48063.37891,48339.80469,48519.1875,51112.69531,48286.78516,47995.00781,49506.19922,16596.42383,11748.26563,14843.01172,14507.53418
O15031,51141.54297,43567.47266,50689.07031,47351.48828,45527.33203,45676.10938,41756.45703,44165.08203,104461.0313,84570.03125,78576.00781,58825.05469
O15042,51032.22266,52557.42578,49885.70313,49781.07031,52884.32031,54904.57813,52367.84766,51141.52734,44610.9375,47044.74219,49001.67578,38484.32813
O15047,16935.37305,17632.88477,17545.63672,19066.10938,16885.70117,15598.39844,15872.2373,17103.03906,111059.6016,111601.25,110169.7734,102086.2422
O15054,11706.12012,5544.375,12458.55664,3134.689209,10612.55273,5376.775391,4099.663086,4571.378906,52631.3125,53968.31641,54228.58594,58186.32422
O15056,98180.60938,113103.8281,109659.6094,111968.3281,102948.6875,122267.0078,132395.625,132096.0313,45673.81641,46077.8125,46908.40625,45636.49219
O15061,24611.38672,24044.79102,23991.3125,22433.26367,23289.40039,22619.68164,21104.13086,21203.69922,38226.96484,41403.61328,44645.19922,36688.59766
O15066,41190.83984,32348.2793,24785.83594,23099.81641,23470.05273,26519.66211,25783.74414,25516.68555,29249.34961,25515.74805,25691.89844,18234.83789
O15067,28574.0625,27915.87305,27861.52734,26200.82617,26120.14453,21036.25391,21250.37305,19254.42773,11861.44629,10528.18457,11870.24023,17344.45898
O15084,9037.654297,9870.114258,9177.552734,9538.195313,8396.313477,8387.188477,6083.73584,7213.908203,20150.51953,17223.35156,16766.44531,15519.07031
O15085,16149.09277,34167.42969,13980.55762,26170.58398,15206.63965,54496.40625,35313.30859,39069.99609,51617.6875,58261.125,57375.03125,67955.21094
O15111,15906.52246,18560.79883,17546.33984,18408.10742,16782.76367,17522.61523,18093.34961,17209.13477,99312.07813,102375.6797,110207.125,101112.875
O15119,26583.54297,23213.77344,20578.95313,22904.78516,31593.20117,28208.88477,25206.98047,26686.58008,4887.160645,3973.367676,3735.114502,4716.374023
O15143,33046.42188,35702.45313,34852.58984,35825.01953,29262.40625,33830.13672,33943.03516,32858.9375,5574.98584,8006.924316,19924.67188,15819.71582
O15144,16980.60352,19053.98633,19037.35352,18340.37109,14978.07324,17594.5,16429.56836,18821.35742,22556.74414,22187.44922,21078.08398,21074.00586
O15145,41780.40625,39902.22266,29646.93555,25205.03906,44586.03906,23085.14453,26224.50195,21363.39258,145720.2031,170935.9063,176771.0156,185235.1406
O15156,13293.82227,14441.12305,13882.27344,10000.55469,14708.50879,13583.36035,14026.83008,16388.13086,26533.91016,20226.43359,18517.74219,14900.76953
O15160,20904.85156,17579.16602,19477.4043,20005.40039,19854.28125,16237.02539,20210.18555,17964.98438,31286.07813,31201.99023,31881.85938,29743.50586
O15164,33831.83984,37162.46484,36855.14063,35478.90625,35988.73438,40149.74609,38025.33984,38208.05469,68951.29688,72629.35156,73888.21094,39844.07813
O15173,108458.3516,93745.8125,103843.0547,102091.5781,89886.61719,91738.79688,88514.84375,81920.94531,68607.375,80786.3125,84146.25781,72977.29688
O15212,39794.47656,36519.00781,38391.74609,39831.25,37125.17969,32664.67969,33342.78516,36181.39453,44469.46484,43846.1875,42624.1875,43730.23047
O15213,31566.80273,31822.63672,31061.61914,31222.51172,31852.47461,33982.78516,32675.26563,30830.59766,31594.14063,31918.50781,30716.34766,31839.98633
O15226,25233.17773,24154.91797,23973.07617,22688.60156,23714.46875,24588.33008,24206.66602,24992.43945,46227.56641,55702.57422,46363.11719,53635.70313
O15230,50327.80469,39775.08594,40102.35938,45918.78516,33358.75,41886.26563,50131.23438,36040.14453,172422.7969,156549.625,153801.3281,157046.4844
O15231,28988.18164,31549.80469,29744.60938,32326.32031,29109.65039,29486.30664,27495.66016,26675.00195,11584.04883,13148.71484,15049.20215,12364.36133
O15234,14183.41504,13499.52441,15587.50879,14936.23145,16513.27539,12006.04492,2581.939453,8659.470703,77162.77344,75912.07031,72590.13281,73540.75
O15287,28051.63672,27130.51758,30047.35352,28979.90625,28247.32422,28860.70508,27809.93945,21760.75,100831.0078,101343.2109,101856.5313,103635.8047
O15294,52456.3125,48240.88672,50828.77344,51491.17578,49325.01172,48408.83203,45731.90234,47452.75,37470.86719,40278.46094,42034.02734,48267.85547
O15297,30333.41016,31296.66016,23550.48047,29283.50391,26054.17578,22780.84375,34276.44141,28196.66602,39557.0625,41662.41406,45161.33594,44398.14844
O15305,77286.42969,80913.71875,77695.16406,78769.74219,76860.875,81733.64844,81688.375,83485.45313,24958.21094,28974.75977,27703.25195,21200.96094
O15344,26700.74414,25360.9707,28496.28711,26010.93555,27329.58008,24250.47266,20802.18164,23442.88086,22901.22852,21320.59375,21956.29883,24112.97266
O15347,98350.03906,95883.28906,94275.29688,94845.51563,94769.00781,92055.02344,93293.03125,89479.15625,85028.82031,88257.92188,81087.92969,85056.07031
O15355,91922.125,87147.69531,88169.55469,91154.58594,89667.8125,90180.42969,91083.11719,91846.11719,37419.37109,36131.76172,38786.20703,32330.66406
O15357,54608.92969,54387.10156,55605.05859,55329.15625,54850.51953,53031.33203,54008.60547,52059.13672,48635.58984,49376.57031,50657.51953,48123.5625
O15360,17224.87891,19684.25391,20601.97461,20966.43945,20347.24023,22373.1543,22499.42773,19942.77344,147885.9688,155035.7031,151493.375,141865.5156
O15371,18303.69727,18377.10352,20305.58984,21209.04102,15694.28711,17026.65625,14731.15234,19861.66797,31788.03711,31166.48633,28904.96094,32297.57227
O15372,15906.39551,14871.9502,16429.84961,15009.52148,15599.09766,12845.11426,14426.18555,13346.88965,13000.95703,11814.28223,16847.17578,12062.30273
O15379,27848.41797,25457.57617,24506.06641,21827.70117,24724.24023,21310.16016,18758.14648,20147.93945,26649.68359,26899.40625,24761.17773,21508.37695
