PG.ProteinGroups,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
Q6ZRV2,18932.29102,18563.35352,17041.46094,18433.80664,18218.53125,19210.29297,19638.9375,17845.99609,25304.27344,23143.87695,25823.27539,22664.54297
Q6ZS17,21005.24023,21162.98438,18456.5957,19156.38672,19891.23828,16782.16211,14395.89746,13118.31445,79753.82031,89599.71094,91445.26563,54415.51563
Q6ZSJ8,2299.638916,330.0429077,3209.757813,4244.463379,2875.54834,4228.362793,2439.863037,5583.796387,29351.94141,26977.375,28277.97852,28195.6582
Q6ZSR9,27510.79102,32633.55273,31896.36328,34551.75391,24278.02344,32320.36328,30785.2793,29809.84961,29968.83398,29646.25,29103.2168,30597.32422
Q6ZSZ5,10636.04004,11476.12793,11942.36719,10702.64258,9132.859375,8616.40625,10062.60254,8903.12793,77460.91406,80581.35938,80681.84375,86500.59375
Q6ZU65,31613.10547,22647.27148,22130.75586,18891.78906,28005.51367,18736.08398,24514.65625,28123.70898,13092.05371,10394.38379,10726.55957,9601.269531
Q6ZUT1,38748.40625,27001.08203,24297.43945,25375.38672,30581.56055,25760.22852,23379.35938,21401.19531,14736.77539,12254.44824,15525.69727,11177.87402
Q6ZVF9,23307.84961,21384.96289,22059.47656,18768.23438,19817.89844,18693.79688,19473.74219,17334.30664,22674.16992,21915.77344,24142.40234,22951.43164
Q6ZVX7,115623.4297,92822.03906,96449.45313,91045.23438,116286.8594,79470.88281,79953.60156,73469.04688,398423.1875,521026.5,744370.5,934470.125
Q6ZW31,37544.42188,46114.16016,41373.80078,41662.47656,27940.08398,36714.27734,31203.46289,44266.60547,40752.86719,39900.24219,40491.98047,31701.87305
Q6ZW49,28130.52344,28387.66406,28104.83789,28972.55664,29027.875,28588.86328,28165.72656,29080.43555,16324.73828,13596.87695,14286.10254,14926.27051
Q6ZW76,33256.9375,38566.03125,35654.54297,34413.51563,35614.31641,32285.00586,30225.73242,29176.39258,31775.76563,30719.91211,28358.35742,34472.03125
Q70CQ2,12610.15723,13338.10254,11543.6875,13056.06152,13715.84863,11955.64453,10982.88379,10742.37598,12675.97168,13198.16797,14776.20801,9721.322266
Q70E73,30665.46484,26791.73242,29962.42383,26883.13867,28261.52148,24795.94531,28027.54883,25446.16016,112694.6172,118664.75,135280.3125,160680.375
Q70J99,31308.11328,33341.34766,31992.10352,32397.02734,32978.25391,30893.93555,29787.19727,29757.63477,13557.38574,9413.605469,10688.73047,7952.129883
Q70UQ0,26682.30859,25919.8457,22975.0332,22369.9707,21009.35547,19489.5293,21281.31055,10143.05371,30230.69727,30498.07813,30023.98242,27507.73438
Q70Z53,19946.90039,17524.14258,17327.27734,14479.71973,22197.45703,18723.51953,16712.2832,15057.77148,27061.08203,26403.03711,24233.1875,24708.14648
Q71RC2,22793.61523,18767.06641,20207.12695,16371.14258,22462.44922,17394.05664,15876.45117,12595.04004,37976.36719,41919.31641,38203.08984,48424.375
Q71SY5,44345.11719,50102.35547,46421.62891,50379.92969,37058.44141,42836.1875,34418.28906,20229.50391,36028.98047,39405.82813,41808.10156,42808.76953
Q71U36,223557.3125,204874.3125,218963.1563,217094.8594,207317.2344,198577.5,203415.6094,202802.2188,46019.58984,47450.27734,46851.18359,49406.89063
Q71UM5,18809.35352,9577.724609,16206.07031,11488.95215,25289.99219,22299.51758,18420.79688,12238.7666,17531.96875,20825.57422,19656.0957,23526.33789
Q75N03,20768.71875,20813.0332,16859.84961,17701.37109,19736.35156,17169.13281,16711.33789,17392.76953,69756.90625,62670.72656,73868.13281,61953.33594
Q75QN2,20238.72852,20529.73438,16322.86719,18940.01563,18537.55273,19566.58594,17782.45898,21769.83594,22676.72656,33202.51563,32412.31836,25501.29688
