A0M8S5	GO:0005737; GO:0008270; GO:0046872; GO:0005925; GO:0030054; GO:0008285; GO:0042127; GO:0043234; GO:0044822; GO:0005634; GO:0005886
A0M8S6	GO:0031748; GO:0005737; GO:0005901; GO:0006906; GO:0016020; GO:0048741; GO:0048278; GO:0031234; GO:0001937; GO:0060161; GO:0048471; GO:0070836; GO:0007005; GO:0000139; GO:0005794; GO:0005634; GO:0007029; GO:0005886; GO:0032947; GO:0044791; GO:0005925; GO:0044794; GO:0045121; GO:0031410; GO:0007088; GO:0005887; GO:0005622; GO:0043547; GO:0051259; GO:0016050; GO:0046982; GO:0019065; GO:0030133; GO:0030674; GO:0001938; GO:0019901; GO:0030512; GO:0042803; GO:0002080; GO:0008286; GO:0008285; GO:0043410; GO:0043234; GO:0097110; GO:0016021; GO:0042383
A0M8S7	GO:0072584; GO:0001666; GO:0005901; GO:0051001; GO:0071375; GO:0045121; GO:0070320; GO:0033138; GO:0033137; GO:0048471; GO:0043627; GO:0019915; GO:1900085; GO:1903598; GO:0009267; GO:0005102; GO:0051480; GO:1901979; GO:0005622; GO:0048365; GO:0051259; GO:0000188; GO:0071360; GO:0046982; GO:0019065; GO:0098903; GO:0031623; GO:0070836; GO:0019901; GO:0051899; GO:0060355; GO:0002080; GO:0033484; GO:0043234; GO:0008104; GO:0005198; GO:0044325; GO:0003057; GO:0045019; GO:0032947; GO:0001525; GO:0006816; GO:2000535; GO:2000811; GO:0019217; GO:0043407; GO:0016504; GO:0043409; GO:0031295; GO:0042310; GO:1900027; GO:0051260; GO:0060546; GO:0007519; GO:0030514; GO:0000165; GO:0030879; GO:0010524; GO:2001238; GO:0001937; GO:0030512; GO:0030193; GO:0055074; GO:0007595; GO:0097190; GO:0008285; GO:0032091; GO:0032092; GO:0006940; GO:0048550; GO:0090090; GO:0071455; GO:0031397; GO:0031398; GO:0016323; GO:0050998; GO:2001244; GO:0016324; GO:1901380; GO:0034141; GO:0061099; GO:0000139; GO:0005783; GO:0006874; GO:0071560; GO:0030857; GO:0010628; GO:0052547; GO:0034098; GO:2000286; GO:0006641; GO:0046426; GO:0005794; GO:0090263; GO:0005768; GO:0002931; GO:0086091; GO:0098911; GO:0005925; GO:0016020; GO:0016021; GO:0031410; GO:0010952; GO:0005929; GO:0019899; GO:0086098; GO:0045907; GO:0009968; GO:0042632; GO:0005887; GO:0001960; GO:0005886; GO:0010608; GO:0000122; GO:0009617; GO:0005938; GO:0030674; GO:0051117; GO:0060056; GO:0042802; GO:0032570; GO:0051592; GO:0001570; GO:1901844; GO:0042524; GO:0002026; GO:0008150; GO:0005515; GO:1903361; GO:0016050; GO:0044860; GO:0042383
A0M8S8	GO:0000166; GO:0001886; GO:0004714; GO:0004713; GO:0009925; GO:0048754; GO:0016020; GO:0016021; GO:2001028; GO:0016310; GO:0016740; GO:0016301; GO:0071526; GO:0018108; GO:0019903; GO:0050918; GO:1901299; GO:0009986; GO:0007169; GO:0004672; GO:0005524; GO:0006468; GO:0045944
A0M8S9	GO:0051016; GO:0070062; GO:0003779; GO:0005903; GO:0016020; GO:0051693; GO:0030863; GO:0008290
A0M8T1	GO:0016020; GO:0016021
A0M8T2	GO:0005109; GO:0045165; GO:0031012; GO:0033278; GO:0055009; GO:0060045; GO:0030182; GO:0002053; GO:0005102; GO:0007267; GO:0060501; GO:0005125; GO:0005886; GO:0045944; GO:0071560; GO:0005737; GO:0005615; GO:0048146; GO:0060070; GO:0016055; GO:0050769; GO:0061180; GO:0008284; GO:0007275; GO:0060492; GO:0060317; GO:0090263; GO:0060716; GO:0005576; GO:0005578; GO:0051091
A0M8T3	GO:0007283; GO:0007140; GO:0005737; GO:0007275; GO:0051321; GO:0071546; GO:0031047; GO:0043046; GO:0030154; GO:0034587; GO:0033391
A0M8T5	GO:0005737; GO:0043197; GO:0005938; GO:0042995
B0LSW3	GO:0000132; GO:0001667; GO:0016042; GO:0048471; GO:0031512; GO:0007281; GO:0090176; GO:0008017; GO:0007049; GO:0022008; GO:0000776; GO:0051081; GO:0007405; GO:0043622; GO:0009306; GO:0001675; GO:0005635; GO:0050885; GO:0021540; GO:0031023; GO:0019226; GO:0016477; GO:0051219; GO:0036035; GO:0061003; GO:0070507; GO:0015630; GO:0007097; GO:0090102; GO:0051130; GO:0021987; GO:0008344; GO:0000226; GO:0005874; GO:0007017; GO:0060117; GO:0007611; GO:0005634; GO:0005875; GO:0001961; GO:0001764; GO:0070062; GO:0051301; GO:0043087; GO:0016020; GO:2000574; GO:0016787; GO:0021819; GO:0031252; GO:0007067; GO:0007268; GO:0045502; GO:0048854; GO:0006810; GO:0000235; GO:0040019; GO:0005856; GO:0047496; GO:0005737; GO:0005813; GO:0005815; GO:0006629; GO:0005938; GO:0030154; GO:0005819; GO:0030036; GO:0031965; GO:0008090; GO:0042803; GO:0007275; GO:1904115; GO:0021766; GO:0007399; GO:0042249; GO:0046329; GO:0030426; GO:0030424; GO:0005515; GO:0045773; GO:0031982; GO:0034452; GO:0046469; GO:0045931; GO:0005871; GO:0051660; GO:0007062; GO:0043005; GO:0021895; GO:0017145; GO:0008201; GO:0005829; GO:0010977; GO:0000090; GO:0032403; GO:0043025; GO:0004623; GO:0043274; GO:0007420; GO:0045505; GO:0000236; GO:0000086
