W8B7S0	GO:0004674; GO:0005524
W8AR96	GO:0003676; GO:0046872
W8AW96	GO:0008152; GO:0015020; GO:0016021
W8BC21	GO:0003676; GO:0046872
W8AK98	GO:0051694
W8C6Z2	GO:0005524
W8AX85	GO:0004047; GO:0006546; GO:0008483
W8BXU0	GO:0003677; GO:0016021
W8BKZ9	GO:0016301
W8BRW3	GO:0004252; GO:0016021
W8BYY0	GO:0003676; GO:0046872
W8BC73	GO:0016021
W8AR03	GO:0005524; GO:0016021; GO:0042626
W8B3L0	GO:0008270
W8BPW3	GO:0004386
W8BFP2	GO:0001104; GO:0016592
W8BLF1	GO:0004889; GO:0016021; GO:0030054; GO:0045211
W8BZ65	GO:0015171; GO:0016021
W8BIS2	GO:0007229
W8C5L8	GO:0006629
W8BJZ8	GO:0003677; GO:0003700; GO:0005634
W8AW78	GO:0005549
W8B7U6	GO:0003676; GO:0015074
W8AWM8	GO:0004114; GO:0007165; GO:0046872
W8C953	GO:0004252; GO:0016021
W8AV95	GO:0016021
W8AXV9	GO:0004714; GO:0005524; GO:0007169; GO:0016021
W8B1Q5	GO:0008270; GO:0016021; GO:0016874
W8AM58	GO:0016021
W8CBH2	GO:0006777; GO:0008265; GO:0016740; GO:0016829; GO:0030151; GO:0030170
W8B474	GO:0000179
W8C7T2	GO:0004222; GO:0005524; GO:0008270; GO:0016021
W8B072	GO:0016021
W8AYV7	GO:0003676
W8B486	GO:0016021
W8BP28	GO:0008080
W8BJP4	GO:0005267; GO:0016021
W8AKC4	GO:0000166; GO:0003723
W8C3J8	GO:0016301
W8B192	GO:0016614; GO:0050660
W8B3W9	GO:0016021; GO:0022857
W8CAC2	GO:0003677; GO:0004386
W8BCC1	GO:0005509
W8B8H3	GO:0034773; GO:0042799
W8ARX2	GO:0016021; GO:0055085
W8AJF0	GO:0016021
W8AD89	GO:0008374; GO:0044255
W8B8L0	GO:0016020
W8BD57	GO:0005525; GO:0005622; GO:0007264
W8C3A5	GO:0007275; GO:0008270; GO:0015031
W8B0X2	GO:0003676; GO:0005634; GO:0008270
W8BEV2	GO:0016021
W8BR46	GO:0003676; GO:0046872
W8BRT2	GO:0008290; GO:0051016
W8B1G1	GO:0003676; GO:0008270
W8BVL4	GO:0016021
W8C160	GO:0000166; GO:0003743
W8AKL5	GO:0015171; GO:0016021
W8AWI0	GO:0004674; GO:0005524
W8C199	GO:0000398; GO:0003723; GO:0005732
W8B6S1	GO:0003774; GO:0016459
W8AQX3	GO:0003755; GO:0006457
W8AY49	GO:0004252; GO:0016021
W8BR25	GO:0005509
W8ADL7	GO:0016301
W8B504	GO:0003677; GO:0005634; GO:0006355; GO:0008168; GO:0016491; GO:0034720; GO:0046872; GO:0050660
W8BWL2	GO:0004871; GO:0005622; GO:0035556; GO:0035591
E2J7Y1	GO:0005739; GO:0016021
W8BUG6	GO:0000122; GO:0001709; GO:0003700; GO:0005634; GO:0043565; GO:0045596
W8AW39	GO:0003676; GO:0005634; GO:0006511; GO:0007275; GO:0008270; GO:0016874
W8BK41	GO:0004497; GO:0005506; GO:0016705; GO:0020037
W8BVB6	GO:0003999; GO:0005737; GO:0006168; GO:0009116
W8AWE1	GO:0004497; GO:0005506; GO:0016705; GO:0020037
W8C171	GO:0005886; GO:0007275; GO:0016021
W8C578	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037
W8AQ15	GO:0005634; GO:0006355
W8BHI2	GO:0003756; GO:0005783; GO:0045454
W8AU44	GO:0000381; GO:0005634; GO:0080009
W8BKY1	GO:0005634; GO:0005737; GO:0006166; GO:0017061; GO:0019509
W8AL00	GO:0003924; GO:0005509; GO:0005525
M4GRG4	GO:0004497; GO:0005506; GO:0016705; GO:0020037
W8CC01	GO:0008152; GO:0008484
W8B751	GO:0004616; GO:0006574; GO:0008442; GO:0009083; GO:0051287
