UNIPROT
B4DN15
P03956
Q53G95
O75419
A0A0B4J202
P48645
E9PDJ7
Q86WB6
Q53HL2
Q7L590
Q12834
P06702
A0A0D9SFF0
Q08050
A8K591
Q53Y49
Q02241
Q02224
P08779
P10244
