O76762	GO:0003700; GO:0005634; GO:0006355; GO:0009952; GO:0043565
Q869C3	GO:0003990; GO:0005615; GO:0030054; GO:0042135; GO:0045202; GO:0052689
Q93118	GO:0030246
Q27238	GO:0003735; GO:0005215; GO:0005743; GO:0006412; GO:0016021; GO:0055085
Q7PRH1	GO:0005737; GO:0031625; GO:0061630
P84185	GO:0005524; GO:0005737; GO:0005856
Q7QG73	GO:0005886; GO:0005905; GO:0006886; GO:0008565; GO:0015031; GO:0030131; GO:0045202; GO:0048488
Q7PQV7	GO:0003735; GO:0005215; GO:0005743; GO:0006412; GO:0016021; GO:0055085
Q7PKQ5	GO:0005509
Q7QIL2	GO:0005829; GO:0006355; GO:0008469; GO:0018216; GO:0019918; GO:0035241; GO:0035242; GO:0035243
Q7PWV1	GO:0005887; GO:0009992; GO:0015250; GO:0015254; GO:0034220
Q7QHW5	GO:0004871; GO:0005634; GO:0005737; GO:0005912; GO:0007155; GO:0007367; GO:0016055; GO:0016342; GO:0019903; GO:0034333; GO:0045294; GO:0045296
Q7PR38	GO:0000050; GO:0000053; GO:0004055; GO:0005524; GO:0005737; GO:0006526
Q7PNM6	GO:0005874; GO:0019799; GO:0048666; GO:0070507; GO:0071929
Q7PVX8	GO:0005737; GO:0005885; GO:0034314
Q7PPA5	GO:0005388; GO:0005524; GO:0005887; GO:0006874; GO:0033017; GO:0046872
P34834	GO:0005743; GO:0015078; GO:0015986; GO:0016021; GO:0045263
Q5TRE7	GO:0005524; GO:0005783; GO:0006810; GO:0016887; GO:0045048; GO:0046872
P34836	GO:0000276; GO:0015078; GO:0015986; GO:0016021
Q7PTC5	GO:0000463; GO:0000466; GO:0005654; GO:0030687; GO:0043021; GO:0070545
Q66Q82	GO:0005576
Q7PPU9	GO:0016021
Q7Q2B7	GO:0005634; GO:0005737; GO:0005829; GO:0006338; GO:0006351; GO:0006355; GO:0008469; GO:0019919; GO:0034969; GO:0035241; GO:0035242; GO:0042054
Q7PZ96	GO:0097602; GO:2000060
Q7QB13	GO:0000307; GO:0005634; GO:0006351; GO:0016538; GO:0045737; GO:0045944; GO:1901409
Q17031	GO:0005525; GO:0005622; GO:0005886; GO:0005912; GO:0007264; GO:0007275
P82290	GO:0005576; GO:0031640; GO:0042742; GO:0045087; GO:0050832
Q8MUF4	GO:0005576; GO:0042742; GO:0045087
O02350	GO:0004181; GO:0005615; GO:0007586; GO:0008270
Q7QIQ6	GO:0005886; GO:0007283; GO:0016021; GO:0048477
P34844	GO:0005743; GO:0006122; GO:0008121; GO:0009055; GO:0045275; GO:0046872
Q7PK92	GO:0005930; GO:0045502; GO:0060271
Q27289	GO:0004252; GO:0005576; GO:0007586
Q7PRJ0	GO:0016021
Q17025	GO:0004252; GO:0005576; GO:0007586
Q17015	GO:0042302
Q7PMU8	GO:0001731; GO:0003743; GO:0005852; GO:0006413; GO:0006446; GO:0016282; GO:0031369; GO:0033290
Q7PVR3	GO:0001731; GO:0003743; GO:0005852; GO:0016282; GO:0033290
Q7Q068	GO:0001731; GO:0002183; GO:0003743; GO:0005852; GO:0006446; GO:0016282; GO:0033290
Q7Q1K8	GO:0003746; GO:0003924; GO:0005525; GO:0005739; GO:0070125
Q7QIL8	GO:0001731; GO:0003743; GO:0005634; GO:0005852; GO:0006446; GO:0016282; GO:0033290
Q7QD36	GO:0001731; GO:0003743; GO:0006413; GO:0006446; GO:0016282; GO:0031369; GO:0033290; GO:0071541
Q7PP77	GO:0001731; GO:0003743; GO:0005852; GO:0006446; GO:0016282; GO:0033290
Q7Q566	GO:0001731; GO:0002181; GO:0003743; GO:0005852; GO:0006446; GO:0016282; GO:0033290
Q7Q9C0	GO:0000287; GO:0005634; GO:0005737; GO:0019509; GO:0043874
Q7PZY1	GO:0000166; GO:0001731; GO:0003743; GO:0005852; GO:0006446; GO:0016282; GO:0033290
Q7Q5Y8	GO:0001731; GO:0003743; GO:0005852; GO:0006446; GO:0016282; GO:0033290
Q7QBW3	GO:0001731; GO:0003743; GO:0005852; GO:0006446; GO:0016282; GO:0033290
Q7QHP6	GO:0036444; GO:0051560; GO:1990246
Q7QJV0	GO:0000166; GO:0001731; GO:0003743; GO:0005852; GO:0006446; GO:0016282; GO:0033290
Q7QH64	GO:0005524; GO:0005739; GO:0030956; GO:0032543; GO:0050567; GO:0070681
Q7Q021	GO:0005788; GO:0016757
Q7Q161	GO:0004616; GO:0051287
Q5TNH5	GO:0004342; GO:0005737; GO:0005975; GO:0006043; GO:0006046; GO:0006048; GO:0006091; GO:0016787; GO:0019262
O77462	GO:0004364; GO:0005576; GO:0006749
O77473	GO:0004364; GO:0004602; GO:0005576; GO:0005737; GO:0006749
Q94999	GO:0004364; GO:0004602; GO:0005737; GO:0006749
P46428	GO:0004364
O76483	GO:0004364; GO:0004602; GO:0005576; GO:0005737; GO:0006749
Q7PYF4	GO:0004984; GO:0005886; GO:0007608; GO:0007635; GO:0008049; GO:0008527; GO:0010037; GO:0016021; GO:0019233; GO:0030424; GO:0030425; GO:0033041; GO:0043025; GO:0050909; GO:0050913
Q93112	GO:0004364; GO:0018833
Q93113	GO:0004364; GO:0018833
Q17020	GO:0005615; GO:0045735
Q7PMG3	GO:0004984; GO:0005886; GO:0007608; GO:0007635; GO:0008049; GO:0008527; GO:0010037; GO:0016021; GO:0019233; GO:0030424; GO:0030425; GO:0033041; GO:0043025; GO:0050909; GO:0050913
Q27442	GO:0000788; GO:0003677; GO:0005811; GO:0006334
Q7PS24	GO:0016226; GO:0097361
Q7PZD5	GO:0005737; GO:0048312
Q8MUF3	GO:0005576; GO:0042742; GO:0045087
Q7QJW7	GO:0005524; GO:0005634; GO:0005849; GO:0006378; GO:0006379; GO:0006388; GO:0051731
P34838	GO:0004129; GO:0005506; GO:0005743; GO:0006119; GO:0009060; GO:0016021; GO:0020037; GO:0045277
Q7PVF6	GO:0000139; GO:0005198; GO:0005783; GO:0006886; GO:0016192; GO:0030126
P34840	GO:0004129; GO:0005507; GO:0005743; GO:0016021; GO:0022900; GO:0070469
Q7Q9J8	GO:0005739; GO:0006744; GO:0031314
A0NDK8	GO:0005184; GO:0005576; GO:0007218; GO:0045823
P34842	GO:0004129; GO:0005743; GO:0016021; GO:0019646
Q7Q5R7	GO:0016021
Q7PYI7	GO:0000060; GO:0005634; GO:0005641; GO:0005737; GO:0006351; GO:0009882; GO:0018298; GO:0042752; GO:0045892; GO:0048471; GO:0048511; GO:0050660
Q7Q9I4	GO:0000049; GO:0002098; GO:0005829; GO:0016779; GO:0032447; GO:0034227
A0NEF7	GO:0000049; GO:0002098; GO:0002143; GO:0005829; GO:0016779; GO:0016783; GO:0032447; GO:0034227
Q7Q732	GO:0005778; GO:0016021; GO:0016491
Q5TWR9	GO:0005615; GO:0042742
Q17027	GO:0005615; GO:0006959; GO:0042742; GO:0045087
Q7PZ25	GO:0003774; GO:0005737; GO:0005813; GO:0005869; GO:0005874; GO:0007017; GO:0007052; GO:0007067; GO:0008283; GO:0016020; GO:0030286; GO:0031982
Q7PN68	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0007366; GO:0046872
Q7PWQ6	GO:0005737; GO:0005758; GO:0006915; GO:0009055; GO:0016226; GO:0043066; GO:0046872; GO:0051537
Q7QGK4	GO:0001731; GO:0003743; GO:0005852; GO:0006446; GO:0016282; GO:0033290; GO:0043022
Q7PMT1	GO:0000060; GO:0001654; GO:0003677; GO:0003700; GO:0005634; GO:0005667; GO:0006351; GO:0006357; GO:0007422; GO:0043565
Q7PGE8	GO:0001731; GO:0001732; GO:0002188; GO:0003729; GO:0003743; GO:0006446; GO:0016282; GO:0033290; GO:0043614; GO:0071540; GO:0071541
Q17017	GO:0005215; GO:0008289
Q7QGL9	GO:0007274; GO:0007399; GO:0016567; GO:0030054; GO:0031594; GO:0045886
Q7PYQ5	GO:0005634
Q7Q323	GO:0000287; GO:0003677; GO:0005654; GO:0005730; GO:0005739; GO:0006284; GO:0008409; GO:0017108; GO:0043137
Q7PD79	GO:0003924; GO:0004871; GO:0005525; GO:0007191; GO:0007606; GO:0007608; GO:0046872
O02491	GO:0005634; GO:0006355; GO:0007367; GO:0043565
Q7Q547	GO:0005739; GO:0015993; GO:0016616; GO:0046872; GO:0047988
Q7PWT9	GO:0005768; GO:0005874; GO:0006897; GO:0008017; GO:0030705
Q5TU55	GO:0005622; GO:0006622; GO:0006726; GO:0007601; GO:0031409; GO:0050896
Q7PT10	GO:0005524; GO:0005737; GO:0006457; GO:0006950
Q7PUD7	GO:0006351; GO:0006355; GO:0016592
Q7Q107	GO:0001128; GO:0006357; GO:0016592; GO:0051123; GO:0070847
Q7PR68	GO:0001104; GO:0006351; GO:0016592; GO:0070847
Q7Q5R5	GO:0001104; GO:0006351; GO:0016592; GO:0070847
Q7QB45	GO:0001104; GO:0006351; GO:0016592
Q7PVZ2	GO:0001104; GO:0006351; GO:0016592
Q7PTL0	GO:0001104; GO:0006351; GO:0016592
Q7PY41	GO:0002143; GO:0004792; GO:0005524; GO:0005829; GO:0006777; GO:0018192; GO:0032447; GO:0042292; GO:0046872; GO:0061604; GO:0061605; GO:0070733
Q7Q6D9	GO:0000166; GO:0001104; GO:0006351; GO:0016592
Q7QH62	GO:0001104; GO:0006351; GO:0006357; GO:0016592; GO:0070847
Q7Q6D6	GO:0001104; GO:0006351; GO:0016592
P34848	GO:0005743; GO:0006120; GO:0008137; GO:0016021; GO:0070469
Q7PV10	GO:0005524; GO:0005829; GO:0016226; GO:0046872; GO:0051536; GO:0051539
P34850	GO:0008137; GO:0016021; GO:0031966; GO:0070469
A0NBD9	GO:0005549; GO:0005576; GO:0006810; GO:0007608; GO:0050896
Q5TYJ0	GO:0005549; GO:0005576; GO:0006810; GO:0007608; GO:0050896
Q7QCC7	GO:0004984; GO:0005549; GO:0005886; GO:0007608; GO:0007610; GO:0008527; GO:0016021; GO:0050909
F5HK49	GO:0005549; GO:0005576; GO:0006810; GO:0007608; GO:0050896
Q7PZ66	GO:0004114; GO:0005634; GO:0005737; GO:0007601
Q7PTL2	GO:0005184; GO:0005576; GO:0007218; GO:0016084; GO:0042811
A0NAZ8	GO:0005549; GO:0005576; GO:0006810; GO:0007608; GO:0050896
A7UR17	GO:0005549; GO:0005576; GO:0006810; GO:0007608; GO:0050896
Q8WTE7	GO:0004984; GO:0005549; GO:0005886; GO:0007608; GO:0016021; GO:0042048
Q8WTE6	GO:0004984; GO:0005549; GO:0005886; GO:0007608; GO:0016021; GO:0042048
Q5TXN1	GO:0005549; GO:0005576; GO:0006810; GO:0007608; GO:0050896
Q7Q5L4	GO:0005549; GO:0005576; GO:0006810; GO:0007608; GO:0050896
Q7QJX9	GO:0004017; GO:0005524; GO:0005758; GO:0005829; GO:0006172; GO:0046033; GO:0046034
Q7Q4F5	GO:0000166; GO:0005737; GO:0009117; GO:0009204; GO:0046872; GO:0047429
Q7PHR1	GO:0003777; GO:0005524; GO:0005737; GO:0005871; GO:0005874; GO:0005875; GO:0007018; GO:0016887; GO:0030705; GO:0047496; GO:0048489
Q7QGL0	GO:0016049; GO:0031463; GO:0042787; GO:0050807
Q7Q9F6	GO:0005737; GO:0005875
Q7QBJ0	GO:0016787
Q7Q6A7	GO:0004502; GO:0005741; GO:0006569; GO:0016021; GO:0016174; GO:0019674; GO:0019805; GO:0034354; GO:0043420; GO:0044550; GO:0050660; GO:0070189; GO:0071949
Q7PMS9	GO:0005737; GO:0007610; GO:0007620
Q7Q0Q1	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0007067; GO:0042555; GO:0046872; GO:0051301
Q7QAJ2	GO:0046872
Q7Q6Y4	GO:0001104; GO:0003713; GO:0006351; GO:0006357; GO:0016592
Q17005	GO:0003796; GO:0005615; GO:0016998; GO:0019835; GO:0050829; GO:0050830
Q7Q6S8	GO:0001104; GO:0006351; GO:0016592; GO:0030518; GO:0070847
Q7QCJ9	GO:0005634; GO:0006351; GO:0006355
Q7QGX9	GO:0001104; GO:0006369; GO:0016592; GO:0070847
Q5TP13	GO:0001104; GO:0006351; GO:0016592
Q7PS12	GO:0003779; GO:0005737; GO:0005856; GO:0005886; GO:0005912; GO:0019898; GO:0045197
Q5TT27	GO:0000166; GO:0005829; GO:0006777; GO:0019008; GO:0030366
Q7QC84	GO:0004029; GO:0004491; GO:0005739; GO:0018478
