P27364	GO:0003854; GO:0005496; GO:0005789; GO:0006694; GO:0016021; GO:0016229; GO:0031966; GO:0042448; GO:0043231; GO:0050810; GO:0051287
Q794F9	GO:0003824; GO:0005975; GO:0015175; GO:0015804; GO:0015827; GO:0016020; GO:0016021; GO:0016324; GO:0042470; GO:0060356
P28565	GO:0004993; GO:0005887; GO:0007193; GO:0007200; GO:0007268; GO:0009636; GO:0014827; GO:0030425; GO:0030594; GO:0040012; GO:0042310; GO:0042493; GO:0050795; GO:0051209; GO:0051378
P08909	GO:0001587; GO:0001662; GO:0004993; GO:0005622; GO:0005887; GO:0007187; GO:0007193; GO:0007208; GO:0007626; GO:0007631; GO:0009897; GO:0009986; GO:0014054; GO:0014057; GO:0030425; GO:0030594; GO:0031100; GO:0031583; GO:0031644; GO:0032098; GO:0035095; GO:0040013; GO:0042493; GO:0043397; GO:0045907; GO:0045963; GO:0048016; GO:0051209; GO:0051378; GO:0051482; GO:0051930
Q9JJ16	GO:0004993; GO:0005232; GO:0016021; GO:0030424; GO:0032414; GO:0043025; GO:0045211; GO:0071363
P35365	GO:0004993; GO:0005887; GO:0007198; GO:0007210; GO:0007268; GO:0008144; GO:0016020; GO:0030425; GO:0030594; GO:0051378
Q6AYP7	GO:0000166; GO:0000287; GO:0005737; GO:0008253; GO:0009117
P85968	GO:0004616; GO:0005737; GO:0005975; GO:0006098; GO:0006739; GO:0009051; GO:0019521; GO:0030246; GO:0031406; GO:0043231; GO:0050661
Q5XI97	GO:0000049; GO:0002196; GO:0004813; GO:0005524; GO:0005634; GO:0005737; GO:0006419; GO:0006450; GO:0046872
A2VCW9	GO:0005739; GO:0033512; GO:0047130; GO:0047131
Q9ESR9	GO:0005524; GO:0005764; GO:0005765; GO:0005768; GO:0005815; GO:0006357; GO:0006810; GO:0010008; GO:0016021; GO:0016023; GO:0016887; GO:0032383; GO:0033344; GO:0033700; GO:0042626; GO:0042632; GO:0048545
Q8CF82	GO:0000139; GO:0005524; GO:0005765; GO:0005794; GO:0006869; GO:0015918; GO:0016021; GO:0031902; GO:0042626
O70127	GO:0000139; GO:0005524; GO:0005794; GO:0005886; GO:0006979; GO:0015126; GO:0015238; GO:0015722; GO:0016021; GO:0016324; GO:0042493; GO:0042626; GO:0043627; GO:0046618
Q9QY44	GO:0000038; GO:0005524; GO:0005778; GO:0006635; GO:0016021; GO:0042626
Q99PE7	GO:0005524; GO:0007584; GO:0007588; GO:0010212; GO:0010949; GO:0015918; GO:0016324; GO:0017127; GO:0030300; GO:0030301; GO:0033344; GO:0042493; GO:0042626; GO:0042632; GO:0043190; GO:0043235; GO:0045796
Q6AYT7	GO:0006660; GO:0007628; GO:0010996; GO:0016021; GO:0032281; GO:0046464; GO:0047372
Q4FZR5	GO:0001501; GO:0001655; GO:0005654; GO:0005737; GO:0006886; GO:0030326; GO:0031848; GO:0032202; GO:0032211; GO:0032212; GO:0035282; GO:0042162; GO:0044877; GO:0051973; GO:0060381; GO:0070187; GO:0070200
Q641W9	GO:0001673; GO:0005737; GO:0005794; GO:0005856; GO:0031514; GO:0043234
P08483	GO:0003056; GO:0005886; GO:0005887; GO:0006939; GO:0007197; GO:0007207; GO:0007213; GO:0007271; GO:0008144; GO:0016323; GO:0016907; GO:0019229; GO:0030054; GO:0030425; GO:0032279; GO:0042166; GO:0043679; GO:0045211; GO:0045987; GO:0046541
Q8R5M5	GO:0001760; GO:0005829; GO:0006568; GO:0006569; GO:0006769; GO:0016787; GO:0016831; GO:0046872; GO:0046874; GO:1904984
Q99NB7	GO:0003986; GO:0005524; GO:0005829; GO:0006084; GO:0006090; GO:0006631; GO:0006637; GO:0008289; GO:0047617; GO:0052689
Q63270	GO:0003729; GO:0003994; GO:0005737; GO:0005783; GO:0005794; GO:0005829; GO:0006099; GO:0006101; GO:0006417; GO:0006879; GO:0010040; GO:0030350; GO:0043231; GO:0046872; GO:0048027; GO:0051536; GO:0051539
O88267	GO:0005829; GO:0006629; GO:0006637; GO:0016290; GO:0047617; GO:0052689
O55171	GO:0001666; GO:0005739; GO:0005759; GO:0006637; GO:0009725; GO:0016290; GO:0031667; GO:0042493; GO:0042760; GO:0047617; GO:0052689; GO:0070849
P13676	GO:0004252; GO:0005737
Q499N5	GO:0005524; GO:0005739; GO:0006631; GO:0016874
P80202	GO:0000082; GO:0001701; GO:0001942; GO:0004675; GO:0004702; GO:0005524; GO:0006468; GO:0007417; GO:0009986; GO:0010629; GO:0010862; GO:0016361; GO:0018107; GO:0030308; GO:0032927; GO:0038092; GO:0045648; GO:0045944; GO:0046332; GO:0046545; GO:0046777; GO:0046872; GO:0048179; GO:0070062; GO:0097191; GO:1901165
P80201	GO:0001655; GO:0004675; GO:0004702; GO:0005524; GO:0006468; GO:0007179; GO:0016361; GO:0046332; GO:0046872; GO:0048179; GO:0048641; GO:0071385
Q5M876	GO:0004046; GO:0005737; GO:0008152; GO:0016324; GO:0016788; GO:0046872; GO:0070062
P35213	GO:0000186; GO:0003714; GO:0005634; GO:0005737; GO:0005829; GO:0005925; GO:0006605; GO:0008022; GO:0016020; GO:0017053; GO:0032403; GO:0035308; GO:0042470; GO:0043234; GO:0045744; GO:0045892; GO:0048471; GO:0051220; GO:0051291; GO:0070062
P61983	GO:0003779; GO:0005080; GO:0005159; GO:0005737; GO:0005925; GO:0006605; GO:0007165; GO:0016020; GO:0030234; GO:0030971; GO:0031988; GO:0032869; GO:0043209; GO:0044822; GO:0045664; GO:0048167; GO:0070062
P25099	GO:0000186; GO:0001609; GO:0001659; GO:0001664; GO:0001666; GO:0001883; GO:0002087; GO:0002674; GO:0002686; GO:0002793; GO:0003093; GO:0004629; GO:0005783; GO:0005886; GO:0006612; GO:0007186; GO:0007193; GO:0008285; GO:0012505; GO:0014050; GO:0014069; GO:0016021; GO:0016042; GO:0016323; GO:0030425; GO:0030673; GO:0031072; GO:0031683; GO:0032229; GO:0032244; GO:0032279; GO:0032795; GO:0032900; GO:0035307; GO:0035814; GO:0042321; GO:0042323; GO:0042734; GO:0043025; GO:0043066; GO:0043195; GO:0043197; GO:0043268; GO:0044297; GO:0045211; GO:0045741; GO:0045776; GO:0045777; GO:0045822; GO:0045908; GO:0046888; GO:0046982; GO:0048167; GO:0048786; GO:0050890; GO:0050965; GO:0050995; GO:0051930; GO:0051967; GO:0055117; GO:0055118; GO:0060079; GO:0060087; GO:0070256; GO:1900453
