A2SW69	GO:0004859; GO:0008023; GO:0043086; GO:0005509; GO:0005544; GO:0008092; GO:0032804; GO:0001786; GO:0005829; GO:0045121; GO:0043220; GO:0001948; GO:0065010; GO:0016323; GO:0030546; GO:0019834; GO:1900121; GO:2000273; GO:0005262; GO:0009986; GO:0042730; GO:0005546; GO:0031902; GO:0031988; GO:0042383; GO:0051099; GO:0043231; GO:0030496; GO:0031982; GO:0035749; GO:0036035; GO:0070509; GO:0031340; GO:0051290; GO:0005634; GO:0005768; GO:0070062; GO:0001765; GO:0005604; GO:0005769; GO:0001525; GO:0042470; GO:1990667; GO:0016020; GO:0019897; GO:0070588; GO:0031214; GO:0002091; GO:0005765; GO:0005886; GO:0005811; GO:0005737; GO:0006900; GO:0005615; GO:0030199; GO:0002020; GO:0048306; GO:0044822; GO:0005576; GO:0005578; GO:0044548
A2TJ54	GO:0005537; GO:0070085; GO:0006465; GO:0022008; GO:0005764; GO:0016021; GO:0048471; GO:0007040; GO:0007042; GO:0007420; GO:0005794; GO:0005783; GO:0005775; GO:0007601; GO:0005765
A6XN32	GO:0016020; GO:0031225; GO:0005886
A6YRY8	GO:0005737; GO:0003735; GO:0030529; GO:0016020; GO:0015935; GO:0022627; GO:0007155; GO:0005055; GO:0043236; GO:0000028; GO:0005840; GO:0006412; GO:0005634; GO:0005886; GO:0005622; GO:0006407; GO:0000461; GO:0030686; GO:0000447; GO:0001618; GO:0046718
A8D8X1	GO:0003735; GO:0005840; GO:0006412; GO:0005622; GO:0030529; GO:0022625; GO:0000027; GO:0005737; GO:0005515; GO:0019083; GO:0006614; GO:0000184; GO:0016020; GO:0005829; GO:0006364; GO:0005783; GO:0044822; GO:0006413
B0FJL7	GO:0005811; GO:0031999; GO:0005737; GO:0005739; GO:2000378; GO:0010897; GO:0060192; GO:0060193; GO:0010867; GO:0034389; GO:0035359; GO:0010884; GO:0010890; GO:0032000; GO:0050995; GO:0005829; GO:0051646; GO:0042802; GO:0019915; GO:0035473
B0FYY4	GO:0005768; GO:0046982; GO:0046872; GO:0042470; GO:0016020; GO:0016021; GO:0001726; GO:0032587; GO:0055037; GO:0010710; GO:0071404; GO:0019960; GO:0031623; GO:0030027; GO:0071438; GO:0007160; GO:0090004; GO:0007155; GO:0030054; GO:0042995; GO:0007229; GO:0004872; GO:0008305; GO:0005886; GO:0046718; GO:0042383; GO:0016032; GO:0001618; GO:0001701; GO:0043065; GO:0048675; GO:0045121; GO:0034667; GO:0034666; GO:0051726; GO:0034665; GO:0001708; GO:0048471; GO:0055007; GO:0032403; GO:0007161; GO:0031594; GO:0009986; GO:0045202; GO:0043547; GO:0003779; GO:0043197; GO:0035748; GO:0014704; GO:0016477; GO:0031589; GO:0035024; GO:0030175; GO:0050839; GO:0002042; GO:0021943; GO:0043236; GO:0045214; GO:0008542; GO:0043235; GO:0070062; GO:0005925; GO:0048333; GO:0001968; GO:0098639; GO:0031410; GO:0033631; GO:2000811; GO:0034681; GO:0034680; GO:0031175; GO:0008354; GO:0048813; GO:0097060; GO:0048738; GO:0005737; GO:0045596; GO:0000082; GO:0034677; GO:0050901; GO:0008284; GO:0034113; GO:0002020; GO:0007159; GO:0009897; GO:0005178
B0LKP1	GO:0005198; GO:0005882; GO:0070062; GO:0005615
B1A8Z2	GO:0030426; GO:0030307; GO:0006915; GO:0005509; GO:0043066; GO:0070886; GO:0030220; GO:0010977; GO:0030027; GO:0048471; GO:0017016; GO:0016324; GO:0007283; GO:0007286; GO:0043025; GO:0007049; GO:0005783; GO:0090050; GO:0071363; GO:0001954; GO:0042383; GO:0032433; GO:0031982; GO:0030335; GO:0051898; GO:0030291; GO:1990090; GO:0045653; GO:0044325; GO:0051092; GO:0008427; GO:0005634; GO:0051302; GO:0002931; GO:0043085; GO:0070062; GO:0051301; GO:0046872; GO:0001525; GO:0071356; GO:0016020; GO:0032587; GO:2000256; GO:0033630; GO:1904030; GO:0090314; GO:1900026; GO:0007026; GO:0043005; GO:0038163; GO:0042995; GO:0007229; GO:0005886; GO:0006974; GO:0005856; GO:0005737; GO:0005813; GO:0001933; GO:0005815; GO:0001934; GO:0070374; GO:0043495; GO:0030154; GO:0031122; GO:0071902; GO:0071944; GO:0071901; GO:0008284; GO:0090004; GO:0007155; GO:0008285; GO:0007113; GO:0005654; GO:0042127
B2KKR4	GO:0032277; GO:0007218; GO:0005576
