P9WI43	GO:0005886; GO:0016021
P9WI41	GO:0042783
Q79FI9	GO:0005576; GO:0005618; GO:0005886; GO:0009405; GO:0009986; GO:0052553
P9WI01	GO:0005886
P9WHW1	GO:0000413; GO:0003755; GO:0016021
P9WH17	GO:0005737; GO:0006412; GO:0042274
P9WMP1	GO:0004729; GO:0005737; GO:0006782; GO:0015994; GO:0016020; GO:0055114
P9WQE1	GO:0006633; GO:0016491; GO:0016746; GO:0031177; GO:0034081; GO:0055114; GO:0071770
O53168	GO:0005515; GO:0005576; GO:0005618; GO:0006508; GO:0008234; GO:0008745; GO:0009252; GO:0009253; GO:0071555
P9WH69	GO:0004748; GO:0005506; GO:0005971; GO:0006144; GO:0006206; GO:0009186; GO:0030145; GO:0042802; GO:0055114
P9WIM7	GO:0016021
P9WIC3	GO:0000162; GO:0004106; GO:0004664; GO:0006571; GO:0009094; GO:0016597; GO:0033585; GO:0042803
P9WPG5	GO:0005886; GO:0006655; GO:0008444; GO:0016021
O53901	GO:0005886; GO:0006629; GO:0009405; GO:0055114
P9WH71	GO:0004748; GO:0005515; GO:0005971; GO:0006144; GO:0006206; GO:0006260; GO:0009186; GO:0009263; GO:0046872; GO:0055114
P9WGK7	GO:0000155; GO:0000160; GO:0005524; GO:0005886; GO:0009365; GO:0016021; GO:0018106; GO:0023014; GO:0042802
P9WPF1	GO:0006633; GO:0009715; GO:0016747
P9WI61	GO:0004366; GO:0005886; GO:0016024; GO:0042967; GO:0102420
P9WKD5	GO:0005507; GO:0016491; GO:0055114
O53493	GO:0005886; GO:0016021; GO:0016410; GO:0016787; GO:0042158; GO:0042967; GO:0052553
P9WQE7	GO:0000036; GO:0004315; GO:0004316; GO:0005835; GO:0006633; GO:0006810; GO:0031177; GO:0034081; GO:0042967; GO:0055114; GO:0071770; GO:0097040; GO:0097041
P9WQE5	GO:0004315; GO:0005835; GO:0006633; GO:0016491; GO:0031177; GO:0034081; GO:0042967; GO:0055114; GO:0071770; GO:0097040; GO:0097041
P96202	GO:0004315; GO:0005835; GO:0006633; GO:0016491; GO:0031177; GO:0034081; GO:0042967; GO:0055114; GO:0071770; GO:0097040; GO:0097041
P9WQE3	GO:0004315; GO:0005835; GO:0006633; GO:0016491; GO:0031177; GO:0034081; GO:0042967; GO:0055114; GO:0097040; GO:0097041
P9WHS3	GO:0004222; GO:0005886; GO:0006508; GO:0009405; GO:0016021; GO:0046872
L0T550	GO:0005886; GO:0006508; GO:0008237; GO:0016021; GO:0046872
P9WHR1	GO:0004222; GO:0005886; GO:0006508; GO:0016021; GO:0046872
I6YG32	GO:0002949; GO:0005515; GO:0008999; GO:0009323; GO:0010125; GO:0017189; GO:0035447; GO:0042967
