Q93YV6	GO:0000159; GO:0007165; GO:0008601
P15458	GO:0045735
Q9FH31	GO:0009555; GO:0045735
Q9ZWB4	GO:0016747
Q42524	GO:0005524; GO:0005737; GO:0009698; GO:0016207
Q3E6Y4	GO:0005524; GO:0005777; GO:0008152; GO:0016874
Q8GWR1	GO:0005635; GO:0005643; GO:0005783; GO:0006913; GO:0015031; GO:0051028
Q9C8D4	GO:0005777; GO:0019605; GO:0047760
Q8W471	GO:0008922; GO:0009507; GO:0009536; GO:0009941; GO:0030497
Q9FFE6	GO:0005777; GO:0006631; GO:0016874
Q9LQS1	GO:0006631; GO:0016874
P92934	GO:0005886; GO:0015172; GO:0015175; GO:0015293; GO:0015810; GO:0015827; GO:0016021
O82567	GO:0004142; GO:0004307; GO:0005794; GO:0006646; GO:0016021; GO:0046872
P46646	GO:0004069; GO:0005737; GO:0006103; GO:0006531; GO:0006536; GO:0009058; GO:0030170; GO:0042802; GO:0080130
Q8GW96	GO:0005524; GO:0005783; GO:0016021; GO:0016887
Q9LH83	GO:0005524; GO:0016021; GO:0016887
Q9LJJ5	GO:0005524; GO:0009651; GO:0016887
Q147F9	GO:0005524; GO:0009651; GO:0016887
Q9FLT4	GO:0005524; GO:0006869; GO:0016021; GO:0042626; GO:0043231
Q9LYS2	GO:0005524; GO:0005774; GO:0008559; GO:0016021; GO:0042626
Q8LEF6	GO:0005215; GO:0005524; GO:0009507; GO:0009941; GO:0016020; GO:0016887
Q9C8K2	GO:0005524; GO:0005886; GO:0006869; GO:0009651; GO:0009737; GO:0010025; GO:0016021; GO:0042626
Q9C8J8	GO:0005524; GO:0005886; GO:0009506; GO:0009651; GO:0016021; GO:0042626; GO:0080051; GO:0080172
Q9LZJ5	GO:0000325; GO:0005524; GO:0005773; GO:0005774; GO:0005794; GO:0008559; GO:0016021; GO:0042626
Q8RWI9	GO:0005524; GO:0005886; GO:0016021; GO:0042626; GO:0080167
Q9M2V7	GO:0005524; GO:0005886; GO:0010208; GO:0016021; GO:0042626
Q9M2V5	GO:0005524; GO:0005886; GO:0016021; GO:0042626
Q9LJX0	GO:0005524; GO:0005886; GO:0008361; GO:0009637; GO:0009639; GO:0009640; GO:0009733; GO:0009734; GO:0009926; GO:0009958; GO:0010218; GO:0010329; GO:0010540; GO:0010541; GO:0016021; GO:0042626; GO:0043481; GO:0048364; GO:0048443; GO:0048527; GO:0060918; GO:0090691
Q84M24	GO:0005524; GO:0005774; GO:0006869; GO:0016021; GO:0042626
O80946	GO:0005524; GO:0005886; GO:0009624; GO:0010208; GO:0016021; GO:0042626
Q9LVM1	GO:0005215; GO:0005524; GO:0005739; GO:0005743; GO:0006777; GO:0006811; GO:0006879; GO:0009507; GO:0009555; GO:0009658; GO:0009941; GO:0010288; GO:0010380; GO:0016021; GO:0042626; GO:0046686; GO:0048364; GO:0050790; GO:0051276; GO:0055085
Q9FIB4	GO:0005215; GO:0005524; GO:0016887
Q9XIE2	GO:0005524; GO:0005739; GO:0005774; GO:0005886; GO:0006855; GO:0009507; GO:0009627; GO:0009737; GO:0009817; GO:0009941; GO:0015086; GO:0015691; GO:0016020; GO:0016021; GO:0031348; GO:0042344; GO:0042626; GO:0042742; GO:0052544; GO:0071366
Q9SYI2	GO:0005524; GO:0010329; GO:0010540; GO:0016021; GO:0042626
Q9M9E1	GO:0002229; GO:0005524; GO:0005886; GO:0006855; GO:0009723; GO:0009751; GO:0009753; GO:0010193; GO:0015692; GO:0016021; GO:0042626; GO:0046865; GO:0080168
Q9STT8	GO:0005524; GO:0006869; GO:0016021; GO:0042626; GO:0043231
Q7DM58	GO:0000325; GO:0005524; GO:0005773; GO:0005774; GO:0005794; GO:0005886; GO:0006855; GO:0008559; GO:0009414; GO:0009506; GO:0009611; GO:0009624; GO:0010118; GO:0016021; GO:0042626
Q9SYI3	GO:0005524; GO:0010329; GO:0010540; GO:0016021; GO:0042626
Q9FHF1	GO:0005524; GO:0005886; GO:0016021; GO:0042626; GO:0055085
Q9ZU35	GO:0005524; GO:0005886; GO:0009507; GO:0009941; GO:0016021; GO:0042626
Q9FLT5	GO:0005524; GO:0005783; GO:0005789; GO:0015245; GO:0016021; GO:0042626; GO:0048316
Q9M1C7	GO:0005524; GO:0008559; GO:0016021
Q8L7U7	GO:0005634; GO:0005737; GO:0017089; GO:0051861
Q9C522	GO:0003878; GO:0005524; GO:0005829; GO:0006085; GO:0006629; GO:0009346; GO:0016020; GO:0046872
Q9ZQP2	GO:0000062; GO:0003995; GO:0003997; GO:0005777; GO:0009055; GO:0033539; GO:0050660; GO:0052890; GO:0055088
Q94A28	GO:0003994; GO:0005507; GO:0005739; GO:0005829; GO:0006097; GO:0006099; GO:0006101; GO:0006102; GO:0006979; GO:0009507; GO:0046686; GO:0051539
P0CZ23	GO:0000062; GO:0003995; GO:0003997; GO:0005777; GO:0006635; GO:0009055; GO:0033539; GO:0033540; GO:0050660; GO:0051791; GO:0052890; GO:0055088
P11829	GO:0000036; GO:0005829; GO:0006633; GO:0009507
O04652	GO:0000036; GO:0009507; GO:0031177
O80800	GO:0005739; GO:0005759; GO:0006633; GO:0046872; GO:0050897; GO:0055114; GO:0070469
Q9FZ47	GO:0008152; GO:0009409; GO:0009416; GO:0009507; GO:0009535; GO:0009570; GO:0009735; GO:0009744; GO:0009941; GO:0010319; GO:0016597
Q9SGA0	GO:0008152; GO:0016597
O80644	GO:0008152; GO:0016597
P53497	GO:0005200; GO:0005524; GO:0005739; GO:0005856; GO:0009570; GO:0009941
Q96293	GO:0005507; GO:0005524; GO:0005773; GO:0005829; GO:0005856; GO:0005886; GO:0009506; GO:0009507; GO:0009570; GO:0009651; GO:0009941; GO:0048768
P48349	GO:0005634; GO:0005886
Q9S9U6	GO:0009693; GO:0009835; GO:0016847; GO:0030170
Q06402	GO:0009693; GO:0009835; GO:0016847; GO:0030170
Q9STR4	GO:0009693; GO:0009835; GO:0016847; GO:0030170
Q9M2Y8	GO:0006417; GO:0009693; GO:0009835; GO:0016847; GO:0030170; GO:0071281
Q9ZQY6	GO:0000159; GO:0005730; GO:0005737; GO:0007165; GO:0008601
O04375	GO:0000159; GO:0007165; GO:0008601; GO:0042325
Q949M8	GO:0004616; GO:0005739; GO:0006574; GO:0008442; GO:0009083; GO:0051287
Q9FWA3	GO:0004616; GO:0005777; GO:0005829; GO:0006098; GO:0009570; GO:0009651; GO:0019521; GO:0019822; GO:0080173
Q9FFR3	GO:0004616; GO:0005739; GO:0005829; GO:0008114; GO:0009051; GO:0009506; GO:0009507; GO:0009536; GO:0009570; GO:0009744; GO:0009749; GO:0009750; GO:0019521; GO:0046686
Q8LG70	GO:0005774; GO:0005829; GO:0005975; GO:0006098; GO:0017057
O49434	GO:0005783; GO:0006145; GO:0008237; GO:0010136; GO:0046872; GO:0047652
Q9FN77	GO:0005524; GO:0016021; GO:0016887
