A1L0Y5	GO:0005856; GO:0000166; GO:0005525; GO:0005737; GO:0051301; GO:0016020; GO:0042384; GO:0005938; GO:0030496; GO:0060170; GO:0005819; GO:0032154; GO:0007067; GO:0007224; GO:0007049; GO:0042995; GO:0005886; GO:0005515; GO:0032947; GO:0070062; GO:0050790; GO:0015629; GO:0030234; GO:0035869; GO:0043209; GO:0032880; GO:0009986; GO:0045202; GO:0005730; GO:0002036; GO:0005634
A1L0Z0	GO:0097067; GO:0006351; GO:0016592; GO:2000273; GO:0042809; GO:0006355; GO:0030375; GO:0042974; GO:0001104; GO:0006357; GO:0005634; GO:0046966; GO:0003406; GO:0043066; GO:0070562; GO:0035357; GO:0030224; GO:0035116; GO:0032403; GO:0006590; GO:0016922; GO:0008134; GO:0006356; GO:0003682; GO:0045444; GO:0002154; GO:0045648; GO:0042975; GO:0000981; GO:0045893; GO:0071364; GO:0010628; GO:0030331; GO:0030374; GO:0031100; GO:0070318; GO:0030216; GO:0033160; GO:0045618; GO:0036033; GO:0000902; GO:0006367; GO:0002088; GO:0042789; GO:0007507; GO:0001047; GO:0010839; GO:0050693; GO:0001525; GO:0001889; GO:0016020; GO:0030521; GO:0035855; GO:2001141; GO:0035257; GO:0009887; GO:0035050; GO:0007420; GO:0045665; GO:0003222; GO:0004872; GO:0045944; GO:0003677; GO:0000122; GO:0006702; GO:0003712; GO:0071383; GO:0070371; GO:0003713; GO:0043010; GO:0030518; GO:0035729; GO:0033148; GO:2000347; GO:0008284; GO:0035162; GO:0007275; GO:0048822; GO:0048821; GO:0005654; GO:0060335; GO:0005730
A1L0Z1	GO:0003677; GO:0003700; GO:0007275; GO:0006351; GO:0006355; GO:0043565; GO:0005634; GO:0007420; GO:0006357; GO:0007605; GO:2001054; GO:0021879; GO:0090103; GO:0000977; GO:0048839; GO:0005622
A1L0Z4	GO:0005856; GO:0005737; GO:0003779; GO:0005815; GO:0000902; GO:0007010; GO:0000922; GO:0031616; GO:0008360; GO:0051661; GO:0051684; GO:0030334
A1L0Z6	GO:0035082; GO:0003341; GO:0005654; GO:0005730; GO:0005634; GO:0005930
A1L1C7	GO:0000288; GO:0000166; GO:0005737; GO:0046872; GO:0010606; GO:0031251; GO:0006397; GO:0000932; GO:0004672; GO:0044822; GO:0005524; GO:0006468; GO:0000289; GO:0005515; GO:0006605; GO:0004535; GO:0005829; GO:0000290; GO:0090503
A1L1F0	GO:0005634
A2BDG5	GO:0016020; GO:0031225; GO:0005886; GO:0006606; GO:0005829; GO:0031982; GO:0005730; GO:0003676
A2RRS8	GO:0005856; GO:0005737; GO:0005813; GO:0005815
A2RUV0	GO:0007219; GO:0046872; GO:0001525; GO:0050793; GO:0016020; GO:0005509; GO:0016021; GO:0030154; GO:0060271; GO:0007275; GO:0006351; GO:0006355; GO:0061314; GO:0004872; GO:0005634; GO:0005886; GO:0000122; GO:0005654
