Uniprot,log2FC
D3YWS2,-0.85117821
E9PZM4,-0.852117439
E9QKZ2,-0.854475589
E9Q7N5,-0.854921597
E9QAE4,-0.857269876
D3Z2K2,-0.858010629
E9PYK3,-0.858929531
F7ABZ6,-0.859337289
Q9WUD0,-0.859627136
G3X9L6,-0.863571445
D3YTP0,-0.864040953
D3YWP3,-0.864397057
E9QKE4,-0.866880852
E9Q5I7,-0.867820612
F6RPJ9,-0.869064601
A2AQY8,-0.8721424
E9Q496,-0.872577186
A2AIH8,-0.874446801
D6RFU2,-0.874734127
G3X8U3,-0.875974416
A2ALW5,-0.876047736
F7D1I5,-0.876577518
F6QTG9,-0.876924846
F6YVP7,-0.87904832
E9Q705,-0.879347305
E9Q8I0,-0.883536146
A2RTH5,-0.887741486
A2AQN4,-0.888705826
E9QPQ8,-0.89004053
E9PV24,-0.891031256
Q0PD20,-0.89311608
A6X8Z5,-0.89876052
G3X9M0,-0.899193083
E9Q7G1,-0.90023848
A2ABY3,-0.905770769
G3X8P9,-0.906532273
B7ZC46,-0.913919316
E9PXB7,-0.915914686
G3X9V2,-0.917683496
E9PWW4,-0.921606048
B7FAU9,-0.924857532
G3X9F4,-0.926245018
D3Z645,-0.928047533
F6TVX7,-0.931955262
A2A7S7,-0.932696424
A6ZI44,-0.939469101
E9QPE2,-0.940495853
B2RQS1,-0.943895407
D3YZN4,-0.94658108
A2AS98,-0.953126238
D3YZ09,-0.953646596
Q9D186,-0.95553988
D3Z041,-0.968389831
A2AMW0,-0.972737882
E0CZE0,-0.973187505
F2Z402,-0.973435468
D3Z5K6,-0.975622843
B2RRL2,-0.976306117
E9QMK9,-0.982907293
H7BXB9,-0.98382519
E9QKQ5,-0.9908391
B1AV77,-0.991025649
A6H611,-0.994156482
A2AH25,-0.996000918
E0CYA8,-0.996290373
D3YVC9,-0.997132829
E9Q132,-1.000592372
F6ZFU0,-1.005028081
D3Z6Z0,-1.005644226
B8JJ66,-1.007703138
D3Z0F5,-1.007911731
F7D926,-1.011395501
G3UW70,-1.012056662
D3YWT0,-1.014583903
E9QB02,-1.016590626
E9QKG2,-1.016758545
G3UXL2,-1.01897261
B2RXQ9,-1.025223178
E0CYX9,-1.026282742
E9QP56,-1.027577716
E9PUU4,-1.030450707
E9PXM6,-1.037215049
F6TBV1,-1.03985242
B1AXP6-2,-1.040765955
A2AQ17,-1.041756809
G3X9J6,-1.050357553
A4GZ26,-1.057899451
E9Q855,-1.060431509
E9PUF9,-1.062211507
A0JNU3,-1.062438198
A2A547,-1.065153389
D3Z1M3,-1.071192332
E9PZB3,-1.072408951
E9Q4Z2,-1.073698483
Q3V2A7,-1.075526946
B7ZDD7,-1.082233228
D3YYS6,-1.088151234
F8WH96,-1.100883413
G3UW94,-1.103149473
H7BX44,-1.104292749
E9PZS8,-1.108543659
A2AMH3,-1.108869623
A8XY17,-1.11731266
D3YUM1,-1.118631284
E0CZ81,-1.124616723
E9QMQ3,-1.126367596
F6R1Y3,-1.13025087
D3YYK8,-1.133717551
F6T1N2,-1.134150176
E9Q137,-1.136620348
D3YU17,-1.146730354
G3UX26,-1.153936796
E9Q9Q2,-1.158035678
B1AQF4,-1.160533375
D3Z2J6,-1.161644219
B7ZNP3,-1.16604821
F8WHP8,-1.170434716
E9Q800,-1.172974469
E9QAQ5,-1.174754191
F8WHX2,-1.177650169
E9Q0C7,-1.184280332
B1ASW6,-1.18723439
D6RI20,-1.197386777
E9QPE7,-1.200145035
E9QAZ2,-1.207775702
D3YVU0,-1.208401912
D3Z1Z0,-1.209448719
P12242,-1.219659025
F8VPK0,-1.221719527
Q9D583,-1.229204551
A2AJ76,-1.235618605
A2AL18,-1.240200188
E9QPE8,-1.255597434
E9PWK1,-1.262716755
B2RWE3,-1.27632843
A2AVR6,-1.27970635
G3UWR9,-1.28367392
G3UVV4,-1.284956265
A2AP32,-1.286427805
E9PWG9,-1.291177703
E9PVN6,-1.303230023
A6PWX7,-1.305849782
E9QN44,-1.317570865
A2AP88,-1.321143821
E9PUP1,-1.326831333
Q9MD77,-1.328790639
D3Z6G3,-1.359533325
E9QNA7,-1.39437309
F6QKK2,-1.425136645
F6V9T4,-1.441076111
E9QL80,-1.452732371
A2ALA6,-1.47425202
D3Z4T6,-1.505411693
D3Z539,-1.513348526
E9QKV6,-1.526026291
G3UZW0,-1.546871269
F7C0H6,-1.557251092
D3YTT4,-1.560519808
D3YVM8,-1.569178293
A0JP43-2,-1.612206219
A2AQU8,-1.657238333
B2RRD7,-1.690255202
A2AVR9,-1.699221964
B1B1D8,-1.706419823
E9PUH6,-1.717342183
D3YVQ2,-1.811761285
E9PUY1,-1.816689998
A6PWX1,-1.952404139
D3YVV1,-1.952672407
D3Z1I3,-2.005308772
B2RXS4,-2.136030038
H7BXB1,-2.319407772
A2API3,-2.821355797
