"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9"
"R1",-9.95914524806786,0.520017288390335,0.104534239322874,-1.63108665388376,0.245332467814494,0.35262399243962,-2.27307386418274,-0.131891579465724,0.38005272987818
"R2",-9.70378878115912,-2.09204038105915,0.399105623611915,2.06963198728947,-1.03022158641506,1.50696293637512,1.25196182436594,0.306996331247869,0.00684515397280742
"R3",-3.82909272185791,1.08479637077864,0.718810510944863,-1.87442520476599,2.26893540258227,-0.622141501140081,1.79335062059916,-0.461127787241096,-0.557175757603356
"R4",-0.800746521640605,3.30604554825028,1.53701769484554,2.01852932613789,-1.12659375040559,-2.27876380032667,-0.260516723338147,-0.626370610237865,-0.26843098000728
"R5",0.632208443662108,1.83117984593711,-3.61154708749808,-0.389728751191455,-0.506023120963672,-0.661568135132463,0.377001810441718,1.93551326401712,0.108447412990199
"C1",4.24501840411361,-0.168864956971074,-1.22013535887131,1.46946741228369,1.56671160814445,0.239988747318894,0.0328664877069754,-0.973479708508779,1.73705104684904
"C2",5.5624267407339,-1.21425091777398,1.84904080065024,1.37784992630357,1.76384904964991,0.489308059190563,-1.02569045631865,1.4373976668392,-0.8087333693256
"C3",5.50249236404595,-0.904939087288235,2.81182053277514,-2.07617606668237,-1.63179910703477,0.00293630002430728,0.53540720499267,0.601964748818474,0.989834930110429
"C4",5.89568384223515,2.5490118837472,-0.884223478170085,-0.461188496620726,-0.908350520790816,2.38519298710822,-0.113515177976987,-1.12543119838502,-0.868775095558394
"C5",2.45494347793475,-4.91095559401114,-1.70442347761111,-0.502873478870326,-0.64184044258122,-1.41453958585751,-0.317791726289924,-0.963571127084179,-0.719116071306033
